,gene_name,Python_coef,aod_coef,coef_diff,Python_intercept,aod_intercept,intercept_diff,Python_phi,aod_phi,phi_diff,Python_NLL,aod_NLL,NLL_diff
36,UNC45A,-0.9984294105416368,-0.998476987756168,4.757721453119146e-05,5.519772169733357,5.51989339339432,0.0001212236609635653,0.5862293395996112,0.586626706420323,0.0003973668207117864,256.16687193684373,256.16687562733097,-3.690487233143358e-06
37,UBE4B,0.4798690204718232,0.479682266338196,0.0001867541336272316,3.2183803037780248,3.21848152845362,0.0001012246755953683,0.7353982252359413,0.735121798891315,0.00027642634462632376,280.06351732519096,280.06351858717045,-1.2619794915735838e-06
38,UBC,-0.6135233587259799,-0.613825231191892,0.00030187246591217853,8.294691912962397,8.29486484568523,0.00017293272283325223,0.0192272186279298,0.0192267940469735,4.245809562992975e-07,673.0004182871162,673.0004190719671,-7.848509540053783e-07
39,TXNL1,-0.0609010496584412,-0.0606771771552968,0.0002238725031444011,4.757476878714149,4.75734227410988,0.00013460460426895082,0.1558945552110673,0.15585218485374,4.237035732729266e-05,793.5159750182146,793.5159758716657,-8.534510698154918e-07
40,TUBA1C,0.2566764907887102,0.256714567912323,3.80771236128119e-05,4.212272739680458,4.21228831451949,1.5574839031806675e-05,0.4080219686695596,0.407904337397546,0.00011763127201358525,917.5714575735516,917.5714584978452,-9.242936584996642e-07
41,TTYH3,0.387124851332834,0.387315874823457,0.00019102349062299906,1.9924486308400229,1.99241115103472,3.747980530288686e-05,0.9999998474121092,0.999998617698941,1.2297131681826556e-06,26.29550597427423,26.295506663899605,-6.89625373695435e-07
42,TTLL12,0.0990054528124757,0.0987499441859825,0.00025550862649320605,4.344151361685525,4.34449282539427,0.0003414637087448824,0.601969070434572,0.601911463965553,5.760646901908917e-05,65.7313232928803,65.73132356655816,-2.7367785548904067e-07
43,TSPAN4,-1.0970345829897412,-1.09719535138824,0.00016076839849876734,1.811876088843658,1.81214267268604,0.0002665838423818734,0.4828361189985266,0.48289987743455,6.375843602340892e-05,574.2549429801757,574.2549464578059,-3.477630230008799e-06
44,TSPAN3,1.0136727277223658,1.01320400242678,0.00046872529558572573,4.069957491791725,4.07001347182443,5.598003270446128e-05,0.073600341796875,0.0735963309858024,4.0108110725967094e-06,872.3905597543138,872.390566714362,-6.960048153814569e-06
45,TSN,-0.1100392627238143,-0.109770062322111,0.00026920040170329285,6.093267058943954,6.09354325198507,0.00027619304111592413,0.1250194702148438,0.124993235307357,2.62349074868079e-05,116.71075935081278,116.71076121205652,-1.8612437457932174e-06
